CLAVE,DESCRIPCION
0101,Buscar trabajo
0102,Cambio u oferta de trabajo
0103,Despido o conclusión de trabajo
0104,Distancia al trabajo
0105,Jubilación o pensión
0109,Otros motivos laborales
0201,Costo de la vivienda (compra o renta)
0209,Situación económica
0301,Reunirse con la familia
0302,Matrimonio o unión de algún familiar
0303,Divorcio o separación de algún familiar
0304,Falleció o nació algún familiar
0305,Cuidar a algún familiar
0306,Situación laboral de algún familiar
0307,Situación escolar de algún familiar
0309,Otros motivos familiares
0401,Se casó o unió
0402,Divorcio o separación
0403,Cuidados de salud
0404,Motivos de edad
0405,Mejorar calidad de vida
0406,Independizarse
0409,Otros motivos personales
0501,Estudiar
0502,Término de estudios
0503,Distancia a la escuela
0509,Otros motivos educativos
0601,Inseguridad delictiva o violencia
0602,Violencia intrafamiliar
0603,Motivos políticos y de gobierno
0604,Motivos de servicios asistenciales
0609,"Otros motivos sociales, ambientales o de servicios"
0701,Desastres naturales
0709,Otros desastres
0801,Lo deportaron (regresaron)
0809,Motivos legales y administrativos
0901,"Adquisición, venta o construcción de vivienda"
0902,Mejorar condiciones de vivienda (no económica)
0903,Término de contrato y otros motivos de renta
0905,Ubicación de la vivienda
0906,Cambio de domicilio sin causa específica
0909,Otras situaciones de la vivienda
1001,Evangelizar y motivos misioneros
1002,Persecución religiosa
1009,Otros motivos religiosos
9999,Causa de migración no especificada
