CLAVE,DESCRIPCION
0101,Kickapoo
0201,Pápago
0202,Pima
0203,Tepehuano del norte
0204,Tepehuano del sur
0205,Tarahumara
0206,Guarijío
0207,Yaqui
0208,Mayo
0209,Cora
0210,Huichol
0211,Náhuatl
0301,Paipai
0303,Cucapá
0304,Kumiai
0305,Kiliwa
0401,Seri
0501,Otomí
0502,Mazahua
0503,Matlatzinca
0504,Tlahuica
0505,Pame
0506,Chichimeco Jonaz
0507,Chinanteco
0508,Tlapaneco
0509,Mazateco
0510,Ixcateco
0511,Chocholteco
0512,Popoloca
0513,Zapoteco
0514,Chatino
0515,Amuzgo
0516,Mixteco
0517,Cuicateco
0518,Triqui
0601,Huasteco
0602,Maya
0603,Lacandón
0604,Ch'ol
0605,Chontal de Tabasco
0606,Tseltal
0607,Tsotsil
0608,Q’anjob’al
0609,Akateko
0610,Jakalteko
0611,Qato'k
0612,Chuj
0613,Tojolabal
0614,Q’eqchi’
0615,K’iche’
0616,Kaqchikel
0617,Teko
0618,Mam
0619,Awakateko
0620,Ixil
0701,Totonaco
0702,Tepehua
0801,Tarasco
0901,Mixe
0902,Sayulteco
0903,Oluteco
0904,Texistepequeño
0905,Ayapaneco
0906,Popoluca de la Sierra
0907,Zoque
1001,Chontal de Oaxaca
1101,Huave
8000,Otras lenguas indígenas de América
9000,No especificado
9010,Chontal insuficientemente especificado
9020,Tepehuano insuficientemente especificado
9030,Popoluca insuficientemente especificado
