CLAVE,DESCRIPCION
111,"Funcionarios, legisladores y autoridades gubernamentales"
112,Presidentes y directores generales
113,"Directores de organizaciones políticas, sindicales y civiles"
121,Directores y gerentes en servicios financieros y administrativos
122,"Directores y gerentes en servicios de salud, enseñanza y sociales"
131,"Directores y gerentes en producción agropecuaria, industrial, construcción y mantenimiento"
132,"Directores y gerentes en informática, telecomunicaciones, transporte y en investigación y desarrollo tecnológico"
141,"Directores y gerentes de ventas, restaurantes y hoteles"
142,"Directores y gerentes de museos, cines y otros establecimientos"
151,Coordinadores y jefes de área en servicios financieros y administrativos
152,"Coordinadores y jefes de área en servicios de salud, enseñanza, sociales y jueces calificadores"
161,"Coordinadores y jefes de área en producción agropecuaria, industrial, construcción y mantenimiento"
162,"Coordinadores y jefes de área en informática, telecomunicaciones, transporte y en investigación y desarrollo tecnológico  "
171,"Coordinadores y jefes de área de ventas, restaurantes y hoteles"
172,"Coordinadores y jefes de área en museos, cines y otros establecimientos"
199,"Otros directores, funcionarios, gerentes, coordinadores y jefes de área, no clasificados anteriormente                                      "
211,Administradores y mercadólogos
212,"Contadores, auditores y profesionistas en finanzas"
213,Investigadores y profesionistas en ciencias sociales
214,Investigadores y profesionistas en ciencias humanistas
215,"Escritores, periodistas y traductores"
216,"Pintores, diseñadores y dibujantes artísticos, escultores y escenógrafos"
217,Artistas interpretativos
221,"Investigadores y profesionistas en física, matemáticas, estadística y actuaría"
222,"Investigadores y profesionistas en ciencias biológicas, químicas y del medio ambiente"
223,Profesionistas en ciencias agronómicas
224,Ingenieros eléctricos y en electrónica
225,"Ingenieros químicos, mecánicos, industriales, mineros y metalúrgicos"
226,"Ingenieros civiles, topógrafos y arquitectos"
227,Investigadores y profesionistas en sistemas computacionales
228,Ingenieros en comunicaciones y telecomunicaciones
231,Supervisores educativos y especialistas en ciencias de la educación
232,Profesores de nivel medio y superior
233,Profesores de nivel básico
234,Profesores de enseñanza especial
239,"Otros profesores y especialistas en docencia, no clasificados anteriormente"
241,Médicos generales y dentistas
242,Médicos especialistas
243,Otros especialistas en salud
251,"Auxiliares en administración, contabilidad y finanzas"
252,Inspectores públicos
253,Auxiliares en ciencias sociales y humanistas
254,"Diseñadores de modas, industriales, gráficos y decoradores de interiores"
255,"Locutores, animadores y payasos"
256,"Deportistas, entrenadores y árbitros"
261,"Auxiliares y técnicos en ciencias físicas, matemáticas, biológicas, químicas, del medio ambiente y agronómicas"
262,"Auxiliares y técnicos industriales, topógrafos, mineros y dibujantes técnicos"
263,"Mecánicos y técnicos en mantenimiento y reparación de equipos mecánicos, vehículos de motor, instrumentos industriales y equipo de refrigeración"
264,"Técnicos eléctricos, en electrónica y de equipos en telecomunicaciones y electromecánicos"
265,Auxiliares y técnicos en informática y en equipos de comunicaciones y grabación
266,Controladores de tráfico aéreo y de otros transportes
271,"Auxiliares y técnicos en educación, instructores y capacitadores"
281,Enfermeras y técnicos en medicina
282,Trabajadores de apoyo en salud
299,Otros profesionistas y técnicos no clasificados anteriormente
310,"Supervisores de secretarias, capturistas, cajeros y trabajadores de control de archivo y transporte"
311,"Secretarias, taquígrafos, mecanógrafos, capturistas de datos y operadores de máquinas de oficina"
312,"Cajeros, cobradores y pagadores"
313,Trabajadores en archivo y control de almacén y bodega
314,Trabajadores en el control de la operación de transporte
320,Supervisores de trabajadores que brindan y manejan información
321,"Recepcionistas, trabajadores que brindan información y telefonistas"
322,Trabajadores en agencias de viajes e información turística
323,Encuestadores y codificadores
399,"Otros trabajadores auxiliares en actividades administrativas, no clasificados anteriormente"
411,Comerciantes en establecimientos
420,Encargados y supervisores de ventas de productos y de servicios financieros
421,Empleados de ventas y vendedores por teléfono
422,"Agentes, representantes de ventas y vendedores por catálogo"
