HouseholdId,HouseholdZone,ExpansionFactor,NumberOfPersons,DwellingType,Vehicles,IncomeClass
0,538,74.30346407523744,4,1,0,2
1,538,67.5081900102371,6,1,0,4
2,538,61.15746658500313,4,1,0,2
3,538,74.30346407523744,5,1,1,4
4,538,67.73046533012028,3,1,0,3
5,536,61.15746658500313,2,1,0,2
6,538,61.15746658500313,2,1,0,3
7,538,97.5634565830819,2,1,0,2
8,538,67.73046533012028,2,1,0,2
9,538,61.15746658500313,2,2,0,2
10,538,68.15913916132358,2,1,0,2
11,538,1.0,2,1,0,2
12,674,143.48101546280657,2,1,2,6
13,755,7.151101502673767,2,1,0,4
14,755,11.628270082771238,1,1,1,4
15,755,9.797009058663063,2,1,2,4
16,755,5.885906621431485,3,1,0,3
17,755,11.628270082771238,6,1,0,4
18,755,9.389685792722503,2,1,2,5
19,755,6.729369875593007,6,1,1,5
20,755,1.0,2,1,1,4
21,755,1.0,2,1,2,5
22,755,1.0,2,1,1,2
23,755,9.797009058663063,2,1,1,3
24,755,1.0,1,1,2,5
25,755,11.012696314117605,2,1,1,4
26,755,1.0,1,1,1,4
27,755,8.18526079690659,4,1,3,5
28,755,9.797009058663063,4,1,2,5
29,755,5.885906621431485,2,1,0,3
30,626,105.2946025883707,4,1,2,6
31,626,136.9017811771267,3,1,2,6
32,535,90.99045783796474,3,1,0,2
33,535,81.47660618403921,3,1,1,3
34,535,90.99045783796474,2,1,0,2
35,535,61.15746658500313,2,1,1,4
36,535,67.73046533012028,4,1,1,4
37,535,74.30346407523744,2,1,1,4
38,535,68.30203043839134,3,1,0,3
39,535,74.30346407523744,2,1,1,4
40,535,100.93478825561861,4,1,1,4
41,535,75.44659429177956,3,1,0,2
42,535,101.79574578307532,2,1,1,4
43,535,114.42733467586568,1,1,1,3
44,535,74.30346407523744,2,1,0,2
45,535,61.15746658500313,1,1,0,2
46,535,67.73046533012028,5,1,1,4
47,535,108.11154022947049,2,1,2,5
48,535,75.44659429177956,2,1,0,2
49,535,120.82344909092636,2,1,1,3
50,535,88.62117003742743,3,1,1,4
51,535,61.15746658500313,2,1,0,1
52,535,74.30346407523744,5,1,1,6
53,535,61.15746658500313,1,1,0,3
54,535,61.15746658500313,2,1,1,3
55,535,74.30346407523744,3,1,2,4
56,535,74.8750291835085,3,1,1,3
57,535,61.15746658500313,1,1,0,2
58,535,61.15746658500313,1,1,0,2
59,535,1.0,1,1,0,2
60,535,90.99045783796474,2,1,0,2
61,535,61.15746658500313,3,1,0,2
62,634,147.9320688622002,4,1,3,6
63,634,125.67680186523204,3,1,1,5
64,634,124.62949518302177,3,1,3,6
65,634,147.9320688622002,3,1,3,6
66,634,147.0418581823215,4,1,1,6
67,538,61.15746658500313,1,1,0,1
68,538,67.73046533012028,3,1,1,3
69,538,74.30346407523744,3,1,0,2
70,538,74.30346407523744,4,1,1,5
71,538,101.79574578307532,1,1,1,4
72,538,88.62117003742743,7,1,1,3
73,538,74.30346407523744,2,1,0,2
74,538,93.32615362926327,6,1,1,4
75,538,74.30346407523744,2,1,0,2
76,538,61.15746658500313,2,1,0,2
77,538,97.5634565830819,5,1,0,4
78,538,74.30346407523744,3,1,0,3
79,538,101.79574578307532,1,1,0,2
80,538,74.30346407523744,3,1,1,4
81,538,85.93346032915967,2,1,0,2
82,538,61.15746658500313,3,1,0,2
83,538,61.15746658500313,2,1,0,2
84,538,75.44659429177956,2,1,0,2
85,538,74.30346407523744,2,1,0,2
86,538,69.68117837156359,5,1,0,2
87,538,97.5634565830819,4,1,0,4
88,538,74.30346407523744,3,1,0,2
89,538,107.59442423323895,4,1,0,2
90,538,67.73046533012028,2,1,0,2
91,538,1.0,2,1,1,2
92,538,90.99045783796474,2,1,0,2
93,538,114.42733467586568,1,1,1,4
94,538,64.72974851169724,5,1,1,4
95,538,120.82344909092636,1,1,0,2
96,538,61.15746658500313,1,1,0,2
97,538,74.8750291835085,3,1,0,3
98,538,74.30346407523744,2,1,1,4
99,538,94.36539937555156,4,1,1,3
