HouseholdId,HouseholdZone,ExpansionFactor,NumberOfPersons,DwellingType,Vehicles,IncomeClass,MACROZONA,MUNICIPIO,NumberOfFormalWorkers,NumberOfInformalWorkers,NumberOfLicenses,DistanceEmployment,DistanceSchool,ZONA,AREA,POBTOT,ZoneDensity
0,538,74.30346407523744,4,1,0,2,141.0,Pesquería,0,2,4,7.747,-1.0,538,1.676373,2760,1646.4116279610803
1,538,67.5081900102371,6,1,0,4,141.0,Pesquería,0,2,3,1.784,1.02,538,1.676373,2760,1646.4116279610803
2,538,61.15746658500313,4,1,0,2,141.0,Pesquería,0,1,2,0.431582746,-1.0,538,1.676373,2760,1646.4116279610803
3,538,74.30346407523744,5,1,1,4,141.0,Pesquería,1,1,3,11.2391065,-1.0,538,1.676373,2760,1646.4116279610803
4,538,67.73046533012028,3,1,0,3,141.0,Pesquería,0,0,1,-1.0,2.548,538,1.676373,2760,1646.4116279610803
5,536,61.15746658500313,2,1,0,2,141.0,Pesquería,0,0,2,-1.0,-1.0,536,0.710826,1335,1878.0967494154688
6,538,61.15746658500313,2,1,0,3,141.0,Pesquería,0,1,2,1.02,-1.0,538,1.676373,2760,1646.4116279610803
7,538,97.5634565830819,2,1,0,2,141.0,Pesquería,2,0,2,25.72535,-1.0,538,1.676373,2760,1646.4116279610803
8,538,67.73046533012028,2,1,0,2,141.0,Pesquería,0,1,2,37.779,-1.0,538,1.676373,2760,1646.4116279610803
9,538,61.15746658500313,2,2,0,2,141.0,Pesquería,0,1,1,0.431582746,-1.0,538,1.676373,2760,1646.4116279610803
10,538,68.15913916132358,2,1,0,2,141.0,Pesquería,1,0,2,6.844213,-1.0,538,1.676373,2760,1646.4116279610803
11,538,1.0,2,1,0,2,141.0,Pesquería,0,1,2,-1.0,-1.0,538,1.676373,2760,1646.4116279610803
12,674,143.48101546280657,2,1,2,6,31.0,General Escobedo,2,0,2,10.7374875,-1.0,674,0.852676,9182,10768.451322659486
13,755,7.151101502673767,2,1,0,4,91.0,Abasolo,1,0,2,2.948,-1.0,755,1.527666,1992,1303.949947174317
14,755,11.628270082771238,1,1,1,4,91.0,Abasolo,1,0,1,29.234,-1.0,755,1.527666,1992,1303.949947174317
15,755,9.797009058663065,2,1,2,4,91.0,Abasolo,0,1,2,0.411995955,-1.0,755,1.527666,1992,1303.949947174317
16,755,5.885906621431485,3,1,0,3,91.0,Abasolo,0,0,3,-1.0,-1.0,755,1.527666,1992,1303.949947174317
17,755,11.628270082771238,6,1,0,4,91.0,Abasolo,2,1,5,0.4,-1.0,755,1.527666,1992,1303.949947174317
18,755,9.389685792722505,2,1,2,5,91.0,Abasolo,1,0,2,17.634,-1.0,755,1.527666,1992,1303.949947174317
