HouseholdId,PersonNumber,Age,Sex,License,TransitPass,EmploymentStatus,Occupation,FreeParking,StudentStatus,EmploymentZone,SchoolZone,ExpansionFactor
0,1,30,F,Y,N,P,S,O,O,296.0,0.0,74.30346407523744
0,2,24,M,Y,N,O,O,O,O,0.0,0.0,74.30346407523744
0,3,21,M,Y,N,O,O,O,O,0.0,0.0,74.30346407523744
0,4,18,F,Y,N,P,G,O,O,0.0,0.0,74.30346407523744
1,1,47,M,Y,N,P,M,O,O,535.0,0.0,67.5081900102371
1,2,39,F,Y,N,O,O,O,O,0.0,0.0,67.5081900102371
1,3,18,M,Y,N,P,M,O,O,533.0,0.0,67.5081900102371
1,4,8,F,N,N,O,O,O,S,0.0,535.0,67.5081900102371
1,5,7,F,N,N,O,O,O,S,0.0,0.0,67.5081900102371
1,6,6,M,N,N,O,O,O,S,0.0,535.0,67.5081900102371
2,1,38,M,Y,N,P,M,O,O,538.0,0.0,61.15746658500313
2,2,34,F,Y,N,O,O,O,O,0.0,0.0,61.15746658500313
3,1,58,M,Y,N,F,G,O,O,270.0,0.0,74.30346407523744
3,2,53,F,Y,N,P,P,O,O,531.0,0.0,74.30346407523744
3,3,24,M,Y,N,O,O,O,O,0.0,0.0,74.30346407523744
4,1,45,F,Y,N,O,O,O,O,0.0,0.0,67.73046533012028
4,2,15,F,N,N,O,O,O,S,0.0,533.0,67.73046533012028
5,1,77,F,Y,N,O,O,O,O,0.0,0.0,61.15746658500313
5,2,53,M,Y,N,O,O,O,O,0.0,0.0,61.15746658500313
6,1,83,F,Y,N,O,O,O,O,0.0,0.0,61.15746658500313
6,2,80,M,Y,N,P,S,O,O,535.0,0.0,61.15746658500313
7,1,46,M,Y,N,F,M,O,O,144.0,0.0,97.5634565830819
7,2,24,M,Y,N,F,G,O,O,281.0,0.0,97.5634565830819
8,1,69,F,Y,N,O,O,O,O,0.0,0.0,67.73046533012028
8,2,33,M,Y,N,P,P,O,O,700.0,0.0,67.73046533012028
9,1,42,F,Y,N,P,G,O,O,538.0,0.0,61.15746658500313
