HouseholdId,PersonNumber,TripNumber,StartTime,Mode,PuposeOrigin,ZoneOrigin,PurposeDestination,ZoneDestination
0,1,1,800,B,H,538,W,296
0,1,2,1600,B,W,296,H,538
1,1,1,800,C,H,538,W,535
1,1,2,1130,C,W,535,H,538
1,1,3,1330,C,H,538,R,535
1,1,4,2030,C,W,535,H,538
1,2,1,1330,W,H,538,M,538
1,2,2,1340,W,M,538,H,538
1,2,3,1440,W,H,538,O,535
1,2,4,1545,W,O,535,O,535
1,2,5,1630,W,O,535,H,538
1,3,1,730,W,H,538,W,533
1,3,2,1515,W,W,533,H,538
1,4,1,1230,S,H,538,S,535
1,4,2,1730,S,S,535,H,538
1,5,1,1440,W,H,538,F,535
1,5,2,1540,W,F,535,F,535
1,5,3,1630,W,F,535,H,538
1,6,1,1230,S,H,538,S,535
1,6,2,1730,S,S,535,H,538
2,1,1,900,W,H,538,W,538
2,1,2,1900,W,W,538,H,538
2,2,1,830,W,H,538,F,538
2,2,2,900,W,F,538,H,538
3,1,1,730,B,H,538,W,270
3,1,2,1500,B,W,270,H,538
3,2,1,600,B,H,538,W,531
3,2,2,1800,B,W,531,H,538
4,1,1,940,W,H,538,F,538
4,1,2,1430,W,F,538,H,538
4,2,1,700,B,H,538,S,533
4,2,2,1315,B,S,533,H,538
5,2,1,1100,W,H,536,M,538
5,2,2,1110,W,M,538,H,536
6,1,1,1430,W,H,538,M,538
6,1,2,1440,W,M,538,H,538
6,2,1,800,W,H,538,W,535
6,2,2,1440,W,W,535,H,538
7,1,1,800,O,H,538,W,144
7,1,2,1800,O,W,144,H,538
7,2,1,600,B,H,538,W,281
7,2,2,1600,B,W,281,H,538
8,1,1,700,W,H,538,M,538
8,1,2,1920,W,M,538,H,538
8,2,1,1430,B,H,538,W,700
8,2,2,2300,B,W,700,H,538
9,1,1,1350,W,H,538,W,538
9,1,2,2100,W,W,538,H,538
10,1,1,735,T,H,538,W,531
10,1,2,1400,W,W,531,H,538
10,2,1,1100,W,H,538,M,538
10,2,2,1300,W,M,538,H,538
12,1,1,630,D,H,674,W,66
12,1,2,1600,D,W,674,H,674
12,2,1,630,P,H,674,W,715
12,2,2,1210,T,W,715,H,674
13,1,1,600,B,H,755,W,758
13,1,2,1900,B,W,758,H,755
14,1,1,500,O,H,755,W,366
14,1,2,1500,O,W,366,H,755
15,2,1,750,D,H,755,W,755
15,2,2,1405,D,W,755,H,755
16,3,1,1600,W,H,755,M,755
16,3,2,1635,W,M,755,H,755
17,3,1,800,O,H,755,W,760
17,3,2,2200,O,W,760,H,755
18,1,1,500,O,H,755,W,759
18,1,2,1600,O,W,759,H,755
18,2,1,700,B,H,755,W,644
18,2,2,1940,B,W,644,H,755
19,3,1,800,B,H,755,W,733
19,3,2,1730,B,W,733,H,755
19,5,1,1140,B,H,755,S,748
19,5,2,1930,B,S,748,H,755
19,6,1,720,W,H,755,S,83
19,6,2,1240,W,S,83,H,755
23,2,1,730,D,H,755,W,758
23,2,2,1600,D,W,758,H,755
25,1,1,1200,D,H,755,W,748
25,1,2,1900,D,W,748,H,755
